quarter	name	isin	symbol	treat	cnt	avg	shares	trades	turnover
3	SIPEF	BE0003898187	SIP	0	63	61.974542628569615	2746.6984126984125	48.523809523809526	170180.6522222222
3	SMARTPHOTO GROUP	BE0003663748	SMAR	1	61	0.4672327009355101	10113.180327868853	5.131147540983607	4684.879836065574
3	SOFINA	BE0003717312	SOF	0	63	86.52066617841288	8724.269841269841	183.4920634920635	754367.7877777781
3	TELENET GROUP	BE0003826436	TNET	1	63	42.80211525917981	103188.49206349206	976.5396825396825	4410878.610952381
3	TER BEKE	BE0003573814	TERB	0	63	58.86676662774811	471.92063492063494	9.698412698412698	27818.699999999997
3	TESSENDERLO	BE0003555639	TESB	1	63	20.57472715201185	48729.57142857143	355.8095238095238	1010464.2671428572
3	TEXAF	BE0974263924	TEXF	1	63	37.98064334503668	643.952380952381	10.507936507936508	24817.748730158728
3	THROMBOGENICS	BE0003846632	THR	1	63	18.99069130699463	218219.0634920635	1146.888888888889	3568226.8723809514
3	TIGENIX	BE0003864817	TIG	1	63	0.6869390855889335	795089.4126984127	247.31746031746033	544791.7434920636
3	TUBIZE-FIN	BE0003823409	TUB	0.15873015873015872	63	51.33999613517106	10198.079365079366	104.11111111111111	522404.7733333334
2	GBL	BE0003797140	GBLB	0	63	68.86613412735228	97178.15873015873	1184.2380952380952	6683105.669047617
2	GIMV	BE0003699130	GIMB	0	63	37.29962268741838	19539.380952380954	262.6031746031746	728963.3507936508
2	GLOBAL GRAPHICS	FR0004152221	GLOG	0	60	1.534059422666043	16763.3	16.45	27177.736833333336
2	GREENYARD FOODS	BE0003765790	GRYFO	0	63	10.820426062471851	3493.6825396825398	16.41269841269841	37842.84793650793
2	HAMON	BE0003700144	HAMO	0	63	15.10562684370328	4346.6984126984125	35.41269841269841	65500.02349206348
2	HOME INV.BELG-SIFI	BE0003760742	HOMI	0	63	76.92192275069675	1226.4761904761904	20.50793650793651	93828.1165079365
2	IBA	BE0003766806	IBAB	0	63	7.673623459513927	22963.031746031746	77.0952380952381	179038.23761904766
2	IEP INVEST	BE0003748622	IEP	0	63	7.042299655818694	7572.428571428572	20.650793650793652	53104.83587301588
2	IMMO MOURY	BE0003893139	IMMOU	0	63	49.89020572727729	112.87301587301587	3	5589.823809523811
2	IMMOBEL	BE0003599108	IMMO	0	63	37.899642005676505	1616.7301587301588	22.50793650793651	61400.708571428586
2	INTERVEST OFF-WARE	BE0003746600	INTO	0	63	20.65549074988748	6305.158730158731	66.65079365079364	130287.50730158732
2	JENSEN-GROUP	BE0003858751	JEN	0	63	14.057075314685026	4052.8571428571427	25.936507936507937	56901.45365079362
2	KBC	BE0003565737	KBC	0	63	44.45601664264597	1066823.3174603174	6727.126984126984	47437405.86158729
2	KBC ANCORA	BE0003867844	KBCA	0	63	28.256739683968547	66966.90476190476	480.6507936507937	1892346.9009523806
2	KEYWARE TECH.	BE0003880979	KEYW	0	63	0.7463538630005347	13939.619047619048	9.206349206349206	10574.705714285716
2	KINEPOLIS GROUP	BE0974274061	KIN	0	63	25.034878040754094	17776.666666666668	109.71428571428571	450097.5946031746
2	OPTION	BE0003836534	OPTI	0	63	0.32160648184131013	374798.7619047619	54.333333333333336	124248.99539682537
2	PICANOL	BE0003807246	PIC	0	63	27.01536386195916	6013.650793650793	48.82539682539682	164819.71476190473
2	QRF	BE0974272040	QRF	0	59	24.868206843256047	2459.7966101694915	16.627118644067796	61008.97525423727
2	QUESTFOR GR-PRICAF	BE0003730448	QFG	0	63	8.654173655865428	12049.825396825398	32.698412698412696	103670.47460317462
2	REALDOLMEN	BE0003899193	REA	0	63	21.735672478754605	11816.79365079365	80.0952380952381	251447.03904761892
2	RECTICEL	BE0003656676	REC	0	63	6.628847447099749	60051.12698412698	127.93650793650794	396062.093968254
2	RENTABILIWEB	BE0946620946	BIL	0	63	8.631595805935312	25859.190476190477	88.04761904761905	229601.75301587305
2	RETAIL ESTATES	BE0003720340	RET	0	63	56.82779845687371	2246.8888888888887	36.65079365079365	127212.77412698408
2	RHJ INTERNATIONAL	BE0003815322	RHJI	0	63	3.7259232723028113	114595.76190476191	140.44444444444446	436803.4804761904
